Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,SMA_10,EMA_10
2025-05-08 00:00:00+05:30,1487.0767158676624,1495.4587795844232,1480.371016743612,1490.4295654296875,8424409,0.0,0.0,,,1490.4295654296875
2025-05-09 00:00:00+05:30,1479.8779633712215,1490.429574694462,1473.3695614613061,1486.6822509765625,4478653,0.0,0.0,-0.25142512870406364,,1489.7482355291193
2025-05-12 00:00:00+05:30,1515.6743515413355,1609.356240543565,1510.743725804376,1604.3270263671875,11372857,0.0,0.0,7.913242746615645,,1510.5807429542224
2025-05-13 00:00:00+05:30,1586.675293741908,1589.8308459268644,1542.8913150101926,1546.8358154296875,12846210,0.0,0.0,-3.5835094711133886,,1517.1725743133977
2025-05-14 00:00:00+05:30,1552.1609377918994,1572.8695652973822,1547.7233747550104,1570.3056640625,4870057,0.0,0.0,1.5172811748151105,,1526.8331360859615
2025-05-15 00:00:00+05:30,1567.7416973152629,1596.1420273386075,1549.2024976963296,1590.6197509765625,11151167,0.0,0.0,1.2936390270355647,,1538.430702429707
2025-05-16 00:00:00+05:30,1590.2253238143162,1590.2253238143162,1559.5568570553514,1567.84033203125,4576751,0.0,0.0,-1.4321096497970087,,1543.7779078118056
2025-05-19 00:00:00+05:30,1554.62619978804,1563.0082630282545,1534.1147498260523,1538.157958984375,8855798,0.0,0.0,-1.8932012680410781,,1542.7560989340907
2025-05-20 00:00:00+05:30,1548.2163771805324,1561.529065774123,1536.382876208452,1538.94677734375,7143998,0.0,0.0,0.05128331292423294,,1542.0634950085741
2025-05-21 00:00:00+05:30,1546.145531646558,1549.2024953086398,1530.564707285941,1546.7371826171875,4157309,0.0,0.0,0.5062166793632583,1548.088232421875,1542.9132563919584
2025-05-22 00:00:00+05:30,1533.9175651094254,1539.1440761948634,1518.6326263378432,1526.028564453125,6158990,0.0,0.0,-1.3388582363438206,1551.6481323242188,1539.8433124030794
2025-05-23 00:00:00+05:30,1528.4939232420525,1565.1777292492216,1528.4939232420525,1543.088623046875,5038421,0.0,0.0,1.1179383526063846,1557.28876953125,1540.4333688837694
