Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,SMA_10,SMA_50,Signal,Strategy_Return
2024-08-08 00:00:00+05:30,1735.492850191383,1735.492850191383,1683.9628873956328,1699.612060546875,6227910,0.0,0.0,,,,0,
2024-08-09 00:00:00+05:30,1727.010094678858,1736.2728164287234,1712.140988711969,1726.5225830078125,4258524,0.0,0.0,0.01583333225599648,,,0,0.0
2024-08-12 00:00:00+05:30,1728.7652841315069,1758.4546990040476,1723.9388468966088,1752.507080078125,4315329,0.0,0.0,0.015050192407587426,,,0,0.0
2024-08-13 00:00:00+05:30,1764.7922546522138,1764.7922546522138,1744.365563180685,1752.5556640625,4176918,0.0,0.0,2.7722560968390653e-05,,,0,0.0
2024-08-14 00:00:00+05:30,1756.9921783945222,1779.4177167425098,1752.5557742866815,1777.71142578125,7450718,0.0,0.0,0.014353759047194936,,,0,0.0
2024-08-16 00:00:00+05:30,1803.7932417323866,1815.3472449089315,1783.805262567244,1812.5196533203125,7335657,0.0,0.0,0.019580358788415575,,,0,0.0
2024-08-19 00:00:00+05:30,1813.5434730155098,1820.9049470871198,1803.0131729829857,1818.2236328125,2585989,0.0,0.0,0.0031469890446365056,,,0,0.0
2024-08-20 00:00:00+05:30,1833.043950660172,1838.6015363062697,1821.538627191082,1825.438720703125,3870333,0.0,0.0,0.003968207078831387,,,0,0.0
2024-08-21 00:00:00+05:30,1828.2662272635982,1832.0688420652468,1820.4660406023306,1825.9261474609375,1966902,0.0,0.0,0.0002670189649667254,,,0,0.0
2024-08-22 00:00:00+05:30,1836.9440574204725,1846.3530568904166,1823.001175405798,1833.2877197265625,4300287,0.0,0.0,0.0040316922323839766,1782.43046875,,0,0.0
2024-08-23 00:00:00+05:30,1831.28891751955,1835.5790443195538,1810.6184688760034,1815.591064453125,5015935,0.0,0.0,-0.00965296122535364,1794.028369140625,,0,-0.0
2024-08-26 00:00:00+05:30,1823.2937434663284,1841.575432070603,1817.4436031129605,1829.2901611328125,3728589,0.0,0.0,0.007545254516778455,1804.305126953125,,0,0.0
